Record Key,Taxon Key,Scientific Name,Common Name,Taxon Group,grid,location,Sex/Stage,count,survey,date,Sighting Year,Designation
DSS000120001FP7A,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777597,Little Leigh - CP,Adult Female,Present,Bat roost - bat box,14/09/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP4V,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547662,Anderton with Marbury - CP,Adult Male,1,trapped (other),12/08/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS00012000162OY,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ650767,reedbed west edge of mere,Adult,3,Sighting,24/04/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4Q,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65437661,Anderton with Marbury - CP,None,Present,Aural Bat Detector,08/09/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP47,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547661,Anderton with Marbury - CP,Adult Male,1,trapped (other),04/09/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP10,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547661,Anderton with Marbury - CP,Adult Male,1,trapped (other),24/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP25,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Male,1,trapped (other),26/05/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4G,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75797967,Tatton - CP,None,Present,Aural Bat Detector,16/04/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5Y,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677990,Tatton - CP,None,1,trapped (other),15/09/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP16,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65537662,Anderton with Marbury - CP,Adult Male,1,trapped (other),24/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5D,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Juvenile Female,2,trapped (other),23/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5H,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547663,Anderton with Marbury - CP,Juvenile Male,1,trapped (other),04/09/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FOZA,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ76567991,Tatton - CP,Adult Male,1,Trapped - net,28/08/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4R,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Juvenile Male,1,trapped (other),08/10/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP7D,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777597,Little Leigh - CP,None,Present,Bat roost - bat box,14/09/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4S,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Male,1,trapped (other),23/07/2018,2018,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FOZ2,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ76567991,Tatton - CP,Adult Male,1,Trapped - net,14/09/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5O,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Male,1,trapped (other),22/08/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP1J,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Male,1,trapped (other),11/08/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP49,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547661,Anderton with Marbury - CP,Juvenile Male,1,trapped (other),08/10/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4K,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75447960,Knutsford - CP,None,Present,Aural Bat Detector,12/05/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4N,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ757794,Knutsford - CP,None,Present,Aural Bat Detector,07/06/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5P,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547663,Anderton with Marbury - CP,Juvenile Male,1,trapped (other),08/10/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP4D,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677990,Tatton - CP,Adult Male,1,trapped (other),11/08/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP7L,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777597,Little Leigh - CP,Adult Male,4,Trapped - harp trap,13/08/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4M,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ74368174,Mere - CP,None,Present,Aural Bat Detector,27/05/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP7C,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777597,Little Leigh - CP,Adult Male,4,Trapped - bat box,14/09/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FOWF,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ79068403,Ashley - CP,None,1,Commuting,21/05/2013,2013,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4U,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Male,1,trapped (other),22/08/2018,2018,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP2C,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Female,1,trapped (other),08/05/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001EGY3,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ3057281244,Clatterbridge Ward,None,1,Bat detector (Anabat) - Static,30/09/2019,2019,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4O,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75797967,Tatton - CP,None,Present,Aural Bat Detector,14/06/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4V,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547662,Anderton with Marbury - CP,Adult Male,1,trapped (other),12/09/2018,2018,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP2J,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Juvenile Female,1,trapped (other),10/10/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP2E,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75538089,Tatton - CP,None,Present,Aural Bat Detector,08/07/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001CUKE,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ91676729,Bosley - CP,None,5,Auditory Record,28/08/2018,2018,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FPH4,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ8561678349,Alderley Edge - CP,None,Present,Aural Bat Detector,24/04/2009,2009,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4H,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ73758145,Mere - CP,None,Present,Aural Bat Detector,01/05/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP4J,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677990,Tatton - CP,Adult Male,1,trapped (other),08/05/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP3Y,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ76567991,Tatton - CP,None,Present,Aural Bat Detector,18/10/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4L,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65437661,Anderton with Marbury - CP,None,Present,Aural Bat Detector,16/05/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP3K,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547662,Anderton with Marbury - CP,Adult Male,1,trapped (other),27/08/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FOZ3,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ76567991,Tatton - CP,Juvenile Female,1,Trapped - net,14/09/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
