Taxon group,Species Name,Common Name,grid,location,date,count,note,Status,Easting,Northing
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST846691,"MoD Rudloe No.2 site, Westwells Road, Rudloe",01/04/2014,1 Count ; Bat site: Not roost,"1 pass at location 1 of automated survey, using Wildlife Acoustic Song Meter 2 detectors & Analook/Batsound software  [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384600,169100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST846691,"MoD Rudloe No.2 site, Westwells Road, Rudloe",01/10/2014,1 Count ; Bat site: Not roost,"1 pass at location 2 of automated survey, using Wildlife Acoustic Song Meter 2 detectors & Analook/Batsound software  [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384600,169100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8468668776,"Spring Park, Corsham",01/06/2016,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384686,168776
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8553059223,"NCN4 cycle path, Langford Road, Trowbridge",01/04/2022,1 Count ; Bat site: Not roost,Total number of bat registrations recorded: 1 / Automated Detector Survey: 5 nights of bat detector recording; Full spectrum Anabat Swift bat detectors; The automated surveys were programmed to start 30 minutes before sunset and to end 30 minutes after sunrise. [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",385530,159223
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST860631,Great Chalfield,11/06/2010,1+ Count,72 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386000,163100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST860631,Great Chalfield,26/06/2010,1+ Count,3 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386000,163100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST861631,Great Chalfield,11/07/2010,1+ Count,117 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386100,163100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST861631,Great Chalfield,26/07/2010,1+ Count,4 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386100,163100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST862689,"Leafield Industrial Estate, Corsham SN13",19/01/2019,1 juvenile Count of Male ; Bat site: Not Roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386200,168900
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST863527,"Glenmore Farm, Westbury",20/04/2020,1 Count ; Bat site: Not Roost,"1 files of 12,359 over 6 nights (across six SM2/SM4 detectors. Analysed manually using analook/bat explorer) [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386300,152700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST863527,"Glenmore Farm, Westbury",22/05/2020,1+ Count ; Bat site: Not Roost,"4 files of total 18,039 over 10 nights (across six SM2/Sm4 detectors. Analysed manually using analook/Bat explorer( [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386300,152700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST864564,"Drynham Lane, North Bradley",03/10/2013,1 Count ; Bat site: Not roost,1 bat registration; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386400,156400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8655,"Ashton Park development site, Trowbridge, southern transect",11/06/2013,1+ Count ; Bat site: Not roost,"2 passes; dusk survey; Anabat SD2, Echometer EM3 & BatBox Duet detectors  [Unverified Record] [GR imprecisely recorded]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386000,155000
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST866552,"River Biss, Yarnbrook",05/08/2013,1+ Count ; Bat site: Not roost,2 bat registrations; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386600,155200
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST866552,"River Biss, Yarnbrook",03/10/2013,1 Count ; Bat site: Not roost,1 bat registration; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386600,155200
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST868553,"nr Homefield Farm, Yarnbrook",20/09/2013,1+ Count ; Bat site: Not roost,2 bat registrations; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386800,155300
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8697662426,"Land off Melksham Road, Holt, Wiltshire",01/07/2014,Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",386976,162426
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST872565,"Biss Barn, West Ashton Road, West Ashton",20/09/2013,1 Count ; Bat site: Not roost,1 bat registration; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387200,156500
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873274,"Whitebridge Farm, Semley, Wiltshire, SP7",19/04/2018,1+ Count ; Bat site: Not Roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,127400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873274,"Whitebridge Farm, Semley, Wiltshire, SP7",02/09/2018,1+ Count ; Bat site: Not Roost,EMT2 [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,127400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873274,"Whitebridge Farm, Semley",02/09/2018,1 Count of Adult ; Bat site: not roost,Single pass recorded on EMT2 pro at 2036hrs / Survey: iRecord | iRecord App [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,127400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873274,"Whitebridge Farm, Semley, Wiltshire, SP7",30/03/2019,1+ Count ; Bat site: not roost,"EMT2pro Detector, From sunset for 1.5 hours, single passes [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,127400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873274,"Whitebridge Farm, Semley, Wiltshire, SP7",08/04/2019,1+ Count ; Bat site: not roost,"EMT2pro Detector, From sunset for 1.5 hours, single passes [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,127400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873274,"Whitebridge Farm, Semley, Wiltshire, SP7",21/04/2019,1+ Count ; Bat site: not roost,"EMT2pro Detector, From sunset for 1.5 hours, single passes [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,127400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873558,"Ashton Hill Farm, West Ashton",12/07/2013,1 Count ; Bat site: Not roost,1 bat registration; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,155800
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST873558,"Ashton Hill Farm, West Ashton",03/10/2013,1 Count ; Bat site: Not roost,1 bat registration; Anabat SD2 & Song-meter 2 detectors  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387300,155800
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8743144114,Warminster,07/07/2019,1+ Count ; Bat site: Not Roost,"EchoMeter Touch II, ID confirmed by county recorder; time stamp = 22:01:33 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387431,144114
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8756,"Ashton Park development site, Trowbridge, eastern transect",08/07/2013,1 Count ; Bat site: Not roost,"1 pass; dusk survey; Anabat SD2, Echometer EM3 & BatBox Duet detectors  [Unverified Record] [GR imprecisely recorded]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387000,156000
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8768344273,Smallbrook Meadows WWT Reserve,01/09/2018,1+ Count ; Bat site: not roost,12 nights of static detector deployment (SM4BAT+); 1 passes of 588 bat passes. [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",387683,144273
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8820144233,Warminster,06/05/2019,1+ Count ; Bat site: not roost,Detector Survey; EchoMeter Touch II; ID confirmed by county recorder; time stamp: 21:51:48 [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",388201,144233
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST885509,Beggars Knoll Wood,06/06/2006,Bat site: Undetermined,Badger consultancy record. Unconfirmed. [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",388500,150900
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8988762444,"Berryfield Lane, Melksham",06/10/2022,Bat site: not roost,"Automated static bat detector surveys, using a combination of Anabat Swifts and Songmeter Mini bat detectors and analysed using Kaleidoscope. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",389887,162444
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST914750,Chippenham,10/09/2020,Bat site: not roost,Static Detector Survey [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",391400,175000
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9189830661,Fonthill Abbey - The Lake,13/05/2021,1+ Count ; Bat site: not roost,ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 6 passes of 1340 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",391898,130661
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST928614,Kennet & Avon Canal ; Seend to Devizes,04/09/2014,1 Count ; Bat site: Not Roost,Bats On Bikes Survey with Anabat SD1 with BatNav GPS attachment. [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",392800,161400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST938718,"Forest Farm potential development site, Pewsham, Chippenham",01/06/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",393800,171800
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9624919654,"Rushmore Estate, Tollard Royal",03/07/2015,1+ Count ; Bat site: not roost,"Summarised static detector data, see Alder et al 2021: Irregular silviculture positively influences multiple bat species in a lowland temperate broadleaf woodland. https://doi.org/10.1016/j.foreco.2020.118786 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",396249,119654
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9624919654,"Rushmore Estate, Tollard Royal",04/07/2015,1+ Count ; Bat site: not roost,"Summarised static detector data, see Alder et al 2021: Irregular silviculture positively influences multiple bat species in a lowland temperate broadleaf woodland. https://doi.org/10.1016/j.foreco.2020.118786 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",396249,119654
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9666918157,"Rushmore Estate, Tollard Royal",21/07/2015,1+ Count ; Bat site: not roost,"Summarised static detector data, see Alder et al 2021: Irregular silviculture positively influences multiple bat species in a lowland temperate broadleaf woodland. https://doi.org/10.1016/j.foreco.2020.118786 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",396669,118157
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9695420254,"Rushmore Estate, Tollard Royal",09/08/2015,1+ Count ; Bat site: not roost,"Summarised static detector data, see Alder et al 2021: Irregular silviculture positively influences multiple bat species in a lowland temperate broadleaf woodland. https://doi.org/10.1016/j.foreco.2020.118786 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",396954,120254
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9695420254,"Rushmore Estate, Tollard Royal",10/08/2015,1+ Count ; Bat site: not roost,"Summarised static detector data, see Alder et al 2021: Irregular silviculture positively influences multiple bat species in a lowland temperate broadleaf woodland. https://doi.org/10.1016/j.foreco.2020.118786 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",396954,120254
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9705118057,"Rushmore Estate, Tollard Royal",30/06/2015,1+ Count ; Bat site: not roost,"Summarised static detector data, see Alder et al 2021: Irregular silviculture positively influences multiple bat species in a lowland temperate broadleaf woodland. https://doi.org/10.1016/j.foreco.2020.118786 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",397051,118057
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST97856340,Rowdeford School,01/05/2019,1 Count ; Bat site: Not roost,Batlogger C; Total recordings for this species during the survey: 1  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",397850,163400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9796130882,"Teffont Estate, Chilmark bridleway",13/07/2021,1+ Count ; Bat site: not roost,Chilmark Static Loc4: analysed using BTO Acoustic Pipeline with manual confirmation of key species; 2 passes of 463 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",397961,130882
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST9987461820,"Braeside Education Centre, Bath Road, Devizes",15/09/2014,1+ Count ; Bat site: Not roost,"Bat recorded during dawn survey with Anabat. Confirmed by Dr Jon Russ, national expert. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",399874,161820
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU010948,Cotswold Water Park Pit 55/55a,28/09/2009,1+ Count ; Bat site: Not roost,Anabat Survey: 3 files of a total of 873 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401000,194800
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU010948,Cotswold Water Park Pit 55/55a,29/09/2009,1+ Count ; Bat site: Not roost,Anabat Survey: 2 files of a total of 1085 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401000,194800
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU01499436,Cotswold Water Park Pit 49,15/06/2011,1+ Count ; Bat site: Not roost,Overnight Anabat survey: 4 file of a total of 587 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401490,194360
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU017564,"The Studio, West Wood",19/04/2019,1+ Count ; Bat site: Not Roost,overnight static detector; 1 passes of 569 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401700,156400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU017564,"The Studio, West Wood",22/04/2019,1+ Count ; Bat site: Not Roost,overnight static detector; 2 passes of 537 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401700,156400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU017564,"The Studio, West Wood",21/04/2020,1+ Count ; Bat site: Not Roost,Overnight static detector - 2 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401700,156400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU017564,"The Studio, West Wood",22/04/2020,1+ Count ; Bat site: Not Roost,Overnight static detector - 1 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401700,156400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU019936,Swillbrook Lakes Reserve (CWP 46/48),03/04/2009,1+ Count ; Bat site: Not roost,15+ recordings of Nathusius Pips. Verified by Dani Linton [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401900,193600
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU019936,Swillbrook Lakes Reserve (CWP 46/48),09/07/2010,1+ Count ; Bat site: Not roost,Anabat Survey: 2 files of a total of 1529 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",401900,193600
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0203751583,"SPTA-C, Brazen Bottom Farm",26/04/2021,1+ Count ; Bat site: not roost,1 week static detector; ID via BTO Acoustic Pipeline & manual confirmation; 2 files of total of 2 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",402037,151583
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU023945,"The Mill, Lower Mill Estate",30/05/2008,1+ Count ; Bat site: Not roost,2 recordings (of total 320 files) [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",402300,194500
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU026259,"Gurston Farm, Fifield Bavant",14/05/2017,1+ Count ; Bat site: Not Roost,GWCT Agri-Bats Project; overnight static detector . 1 passes of a total of 3 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",402600,125900
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0354295681,"Cotswold Community, Ashton Keynes",01/05/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",403542,195681
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0391336855,Langford Lakes WWT Reserve,29/08/2021,1 Count ; Bat site: not roost,Transect of north lake & river corridor [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",403913,136855
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0407436880,Langford Lakes WWT Reserve ; Brockbank Lake,16/07/2021,1+ Count ; Bat site: not roost,ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 1 passes of 2055 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404074,136880
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0407436880,Langford Lakes WWT Reserve ; Brockbank Lake,18/07/2021,1+ Count ; Bat site: not roost,ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 2 passes of 2667 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404074,136880
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0426137057,Langford Lakes WWT Reserve,29/08/2021,1 Count ; Bat site: not roost,Transect of north lake & river corridor [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404261,137057
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0441236871,Langford Lakes WWT Reserve ; Great Meadow,18/07/2021,1+ Count ; Bat site: not roost,ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 1 passes of 224 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404412,136871
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0441236871,Langford Lakes WWT Reserve ; Great Meadow,22/07/2021,1+ Count ; Bat site: not roost,ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 1 passes of 235 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404412,136871
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0472793734,"High Road, Ashton Keynes",15/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked all files; 5 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404727,193734
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0472793734,"High Road, Ashton Keynes",16/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked all files; 2 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404727,193734
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0472793734,"High Road, Ashton Keynes",17/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked all files; 9 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404727,193734
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0472793734,"High Road, Ashton Keynes",18/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked all files; 4 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404727,193734
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0472793734,"High Road, Ashton Keynes",20/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked all files; 15 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404727,193734
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0472793734,"High Road, Ashton Keynes",21/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked all files; 1 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",404727,193734
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0674641357,nr Winterbourne Stoke,21/04/2017,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406746,141357
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,02/10/2007,1 Count ; Bat site: Not roost,"suspected recorded, but not confirmed by recording [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,07/10/2007,1 Count ; Bat site: Not roost,confirmed by recording. [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,10/06/2008,1+ Count ; Bat site: Not roost,2 recordings (of total 836 file) [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,11/06/2008,1 Count ; Bat site: Not roost,highly active following emergence [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,11/06/2008,1+ Count ; Bat site: Not roost,1 recording (of total 312 files) [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,15/09/2009,1 Count ; Bat site: Not roost,1 Anabat file [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,17/09/2009,1 Count ; Bat site: Not roost,2 Anabat file [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,18/09/2009,1 Count ; Bat site: Not roost,1 Anabat file [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,19/09/2009,1 Count ; Bat site: Not roost,2 Anabat file [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,20/09/2009,1 Count ; Bat site: Not roost,"2 Anabat file, also with social calls [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,29/07/2010,1+ Count ; Bat site: Not roost,Anabat Survey: 2 files of a total of 2866 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,09/10/2010,1+ Count ; Bat site: Not roost,2 hour Anabat survey during mist netting survey. Anabat Survey: 4 files of a total of 271 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,07/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 20 files of a total of 3322 bat files. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
