Taxon group,Species Name,Common Name,grid,location,date,count,note,Status,Easting,Northing
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0705830798,"Burcombe, Salisbury, SP2    .",14/06/2021,1+ Count ; Bat site: not roost,5 nights static detector; ID via BTO Acoustic Pipeline & manual confirmation; 2 files of total of 337 bat files overnight [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",407058,130798
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU072973,"Thames-Severn Canal, Section 2",26/07/2005,1 Count ; Bat site: Not roost,"recorded on Petersson 240X, TE, [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",407200,197300
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU07319479,"Cotswold Water Park Pit 68a, Cleveland Reedbed",03/08/2010,1+ Count ; Bat site: Not roost,overnight Anabat survey; 17 files of a total of 1809 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",407310,194790
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU07319479,"Cotswold Water Park Pit 68a, Cleveland Reedbed",10/09/2010,1 Count ; Bat site: Not roost,foraging and possible social calls around woodland edge [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",407310,194790
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0775241389,"Manor Farm, Winterbourne Stoke",20/09/2016,1+ Count ; Bat site: Not Roost,3 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",407752,141389
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0791441908,"Manor Farm, Winterbourne Stoke",25/05/2017,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",407914,141908
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0858840952,"Druids Lodge, Hill Farm",11/08/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",408588,140952
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0900741190,"Manor Farm, Winterbourne Stoke",20/09/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",409007,141190
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU091956,Latton,29/04/2005,1 Count ; Bat site: Undetermined,"grounded bat, adult female [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",409100,195600
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU0921840208,"Druids Lodge, The Park",26/09/2017,1+ Count ; Bat site: Not Roost,5 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",409218,140208
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1055840904,"Stonehenge World Heritage Site, Diamond Wood",29/08/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",410558,140904
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1125941511,"Stonehenge World Heritage Site, Normanton Copse",20/09/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",411259,141511
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU123291,"Netherhampston Road, Salisbury",08/09/2014,Bat site: not roost,"Comment: Quantity: 1, Method: Aural bat detector, Status: Flying over [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",412300,129100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1251060499,"Cocklebury Farm, Woodborough",14/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Western pastures & Oaks; 1 passes of 1216 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",412510,160499
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1251060499,"Cocklebury Farm, Woodborough",16/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Western pastures & Oaks; 1 passes of 1070 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",412510,160499
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1251060499,"Cocklebury Farm, Woodborough",17/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Western pastures & Oaks; 1 passes of 1576 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",412510,160499
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1303060533,"Cocklebury Farm, Woodborough",10/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Eastern pastures & wooded track; 2 passes of 220 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413030,160533
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1303060533,"Cocklebury Farm, Woodborough",11/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Eastern pastures & wooded track; 5 passes of 959 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413030,160533
